platform,display_name,run_id,frame_id,latency_ms,resolution_width,resolution_height,fps_target,batch_size,backend,device_name,measurement_scope,include_transfers,timestamp_s,warmup,num_iters,notes
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,35,0.43720299981941935,128,128,180.0,1,cpu,x86_64,compute_only,False,0.01565895800013095,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,36,0.45722699996986194,128,128,180.0,1,cpu,x86_64,compute_only,False,0.01611716700017496,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,37,0.4341200001363177,128,128,180.0,1,cpu,x86_64,compute_only,False,0.016552036000121007,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,38,0.4341490002843784,128,128,180.0,1,cpu,x86_64,compute_only,False,0.016986846000236255,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,39,0.4322080003476003,128,128,180.0,1,cpu,x86_64,compute_only,False,0.01741972900026667,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,40,0.4386499999782245,128,128,180.0,1,cpu,x86_64,compute_only,False,0.017859210000096937,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,41,0.46542599966414855,128,128,180.0,1,cpu,x86_64,compute_only,False,0.018325386000014987,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,42,0.43386800007283455,128,128,180.0,1,cpu,x86_64,compute_only,False,0.018760396000288893,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,43,0.4401090000101249,128,128,180.0,1,cpu,x86_64,compute_only,False,0.019201394999981858,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,44,0.45920100001239916,128,128,180.0,1,cpu,x86_64,compute_only,False,0.019661289999930887,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,45,0.47718199994051247,128,128,180.0,1,cpu,x86_64,compute_only,False,0.020139176000157022,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,46,0.4903570002170454,128,128,180.0,1,cpu,x86_64,compute_only,False,0.020630330000130925,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,47,0.43416299968157546,128,128,180.0,1,cpu,x86_64,compute_only,False,0.02106533300002411,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,48,0.43133500003023073,128,128,180.0,1,cpu,x86_64,compute_only,False,0.021497477000139043,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,49,0.43563000008361996,128,128,180.0,1,cpu,x86_64,compute_only,False,0.02193392600020161,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,50,0.4756690000249364,128,128,180.0,1,cpu,x86_64,compute_only,False,0.022410274000321806,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,51,0.43734700011555105,128,128,180.0,1,cpu,x86_64,compute_only,False,0.02284840400034227,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,52,0.43608899977698456,128,128,180.0,1,cpu,x86_64,compute_only,False,0.023285453999960737,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,53,0.45540399969468126,128,128,180.0,1,cpu,x86_64,compute_only,False,0.023741687999972783,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,54,0.4334910004217818,128,128,180.0,1,cpu,x86_64,compute_only,False,0.024176173000341805,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,55,0.43468600006235647,128,128,180.0,1,cpu,x86_64,compute_only,False,0.02461161200017159,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,56,0.46436499997071223,128,128,180.0,1,cpu,x86_64,compute_only,False,0.02507664199993087,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,57,0.43423700026323786,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0255116020002788,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,58,0.4897789999631641,128,128,180.0,1,cpu,x86_64,compute_only,False,0.02600213999994594,100,1000,
