platform,point_id,target_fps,processed_fps,active_power_w,idle_power_w,full_chip_power_w,incremental_power_w,full_chip_energy_per_frame_mj,incremental_energy_per_frame_mj,bubble_size_w,meets_180_fps,energy_basis,notes,n_frames,idle_settle_s,idle_measure_s,active_settle_s,active_measure_s
RTX 4090,RTX 4090 30 FPS,30,29.809051344314415,72.37618787878789,64.05139959432049,72.37618787878789,8.324788284467402,2427.99366684953,279.27048695077707,72.37618787878789,No,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,299,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 45 FPS,45,44.576187587843364,72.61103238866399,63.70905668016195,72.61103238866399,8.901975708502036,1628.9197510570905,199.70249117781768,72.61103238866399,No,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,446,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 60 FPS,60,59.32142699610281,71.68658097165992,64.13725152129817,71.68658097165992,7.549329450361753,1208.4432995242926,127.26142698586324,71.68658097165992,No,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,594,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 90 FPS,90,88.46023699962447,70.59522920892495,62.19007489878542,70.59522920892495,8.40515431013953,798.0447668168088,95.01618574880385,70.59522920892495,No,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,885,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 120 FPS,120,117.37531111263934,71.28243724696355,62.08573481781377,71.28243724696355,9.19670242914978,607.3034999545798,78.35295465435789,71.28243724696355,No,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,1174,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 180 FPS,180,174.3335594235552,70.85914777327935,61.20323076923077,70.85914777327935,9.655917004048575,406.4572994871415,55.387597407960165,70.85914777327935,No,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,1744,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 240 FPS,240,236.28536481524014,70.98338832997986,60.14406275303643,70.98338832997986,10.83932557694343,300.4138169348079,45.87387621497032,70.98338832997986,Yes,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,2363,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 320 FPS,320,314.423196915351,71.04142137096774,60.467890466531436,71.04142137096774,10.573530904436304,225.9420490215724,33.62834233659582,71.04142137096774,Yes,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,3145,10.0,10.0,10.0,10.0
RTX 4090,RTX 4090 400 FPS,400,391.3841008042622,71.37036491935484,59.91500202839756,71.37036491935484,11.455362890957282,182.35376647312606,29.268850899710674,71.37036491935484,Yes,full-chip and incremental,NVML device power; staged 10s settle + 10s measure; no latency exported.,3914,10.0,10.0,10.0,10.0
