timestamp_s,phase,target_fps,total_power_w,mem_used_mb
355.272356208,idle_settle,,6.133,2712.47265625
355.322340093,idle_settle,,6.133,2712.47265625
355.372341162,idle_settle,,6.133,2712.47265625
355.422336279,idle_settle,,6.133,2712.47265625
355.472335525,idle_settle,,6.133,2712.47265625
355.522335395,idle_settle,,6.133,2712.47265625
355.572348157,idle_settle,,6.133,2712.47265625
355.622339991,idle_settle,,6.133,2712.47265625
355.672333904,idle_settle,,6.133,2712.47265625
355.722333866,idle_settle,,6.133,2712.47265625
355.772333828,idle_settle,,6.133,2712.47265625
355.822339326,idle_settle,,6.133,2712.47265625
355.872334199,idle_settle,,6.133,2712.47265625
355.922333105,idle_settle,,6.133,2712.47265625
355.972333035,idle_settle,,6.133,2712.47265625
356.022332836,idle_settle,,6.133,2712.47265625
356.072356479,idle_settle,,6.133,2712.47265625
356.122337112,idle_settle,,6.133,2712.47265625
356.172337522,idle_settle,,6.133,2712.47265625
356.222361325,idle_settle,,6.133,2712.47265625
356.272370663,idle_settle,,5.98,2712.47265625
356.322350784,idle_settle,,5.98,2712.47265625
356.372336441,idle_settle,,5.98,2712.47265625
356.422334419,idle_settle,,5.98,2712.47265625
356.4723331,idle_settle,,5.98,2712.47265625
356.522333143,idle_settle,,5.98,2712.47265625
356.572342302,idle_settle,,5.98,2712.47265625
356.62233978,idle_settle,,5.98,2712.47265625
356.672335242,idle_settle,,5.98,2712.47265625
356.722333937,idle_settle,,5.98,2712.47265625
356.772335799,idle_settle,,5.98,2712.47265625
356.822337758,idle_settle,,5.98,2712.47265625
356.872336068,idle_settle,,5.98,2712.47265625
356.922332682,idle_settle,,5.98,2712.47265625
356.972333905,idle_settle,,5.98,2712.47265625
357.022333943,idle_settle,,5.98,2712.47265625
357.072335102,idle_settle,,5.98,2712.47265625
357.1223353,idle_settle,,5.98,2712.47265625
357.172333834,idle_settle,,5.98,2712.47265625
357.222332753,idle_settle,,5.98,2712.47265625
357.272356888,idle_settle,,5.98,2711.98046875
357.322338878,idle_settle,,5.98,2711.98046875
357.372334116,idle_settle,,5.98,2711.98046875
357.422333706,idle_settle,,5.98,2711.98046875
357.472333681,idle_settle,,5.98,2711.98046875
357.5223346,idle_settle,,5.98,2711.98046875
357.572335804,idle_settle,,5.98,2711.98046875
357.622341135,idle_settle,,5.98,2711.98046875
357.672335362,idle_settle,,5.98,2711.98046875
357.722334454,idle_settle,,5.98,2711.98046875
357.772333641,idle_settle,,5.98,2711.98046875
357.822337724,idle_settle,,5.98,2711.98046875
357.87233416,idle_settle,,5.98,2711.98046875
357.922335395,idle_settle,,5.98,2711.98046875
357.972335094,idle_settle,,5.98,2711.98046875
358.022334154,idle_settle,,5.98,2711.98046875
358.072339197,idle_settle,,5.98,2711.98046875
358.122351505,idle_settle,,5.98,2711.98046875
358.172335524,idle_settle,,5.98,2711.98046875
358.222344407,idle_settle,,5.98,2711.98046875
358.272379884,idle_settle,,5.98,2711.48828125
358.322340286,idle_settle,,5.98,2711.48828125
358.372337553,idle_settle,,5.98,2711.48828125
358.422335268,idle_settle,,5.98,2711.48828125
358.472333527,idle_settle,,5.98,2711.48828125
358.522351549,idle_settle,,5.98,2711.48828125
358.572336221,idle_settle,,5.98,2711.48828125
358.622336766,idle_settle,,5.98,2711.48828125
358.672334686,idle_settle,,5.98,2711.48828125
358.722334271,idle_settle,,5.98,2711.48828125
358.772338495,idle_settle,,5.98,2711.48828125
358.822334208,idle_settle,,5.98,2711.48828125
358.872333824,idle_settle,,5.98,2711.48828125
358.922333985,idle_settle,,5.98,2711.48828125
358.972333601,idle_settle,,5.98,2711.48828125
359.022345922,idle_settle,,5.98,2711.48828125
359.072338051,idle_settle,,5.98,2711.48828125
359.122334211,idle_settle,,5.98,2711.48828125
359.172334115,idle_settle,,5.98,2711.48828125
359.222540846,idle_settle,,5.98,2711.48828125
359.272354886,idle_settle,,5.98,2713.45703125
359.322335781,idle_settle,,5.98,2713.45703125
359.372418346,idle_measure,,5.98,2713.45703125
359.422517839,idle_measure,,5.98,2713.45703125
359.47248251,idle_measure,,5.98,2713.45703125
359.522486818,idle_measure,,5.98,2713.45703125
359.572480912,idle_measure,,5.98,2713.45703125
359.622478014,idle_measure,,5.98,2713.45703125
359.672476908,idle_measure,,5.98,2713.45703125
359.72247689,idle_measure,,5.98,2713.45703125
359.772484104,idle_measure,,5.98,2713.45703125
359.822478358,idle_measure,,5.98,2713.45703125
359.872478628,idle_measure,,5.98,2713.45703125
359.922477906,idle_measure,,5.98,2713.45703125
359.972504897,idle_measure,,5.98,2713.45703125
360.022486863,idle_measure,,5.98,2713.45703125
360.072479068,idle_measure,,5.98,2713.45703125
360.122477386,idle_measure,,5.98,2713.45703125
360.172477944,idle_measure,,5.98,2713.45703125
360.222490279,idle_measure,,5.98,2713.45703125
360.272501558,idle_measure,,5.98,2713.203125
360.322481027,idle_measure,,5.98,2713.203125
360.372477649,idle_measure,,5.98,2713.203125
360.422476543,idle_measure,,5.98,2713.203125
360.472476813,idle_measure,,5.98,2713.203125
360.52247547,idle_measure,,5.98,2713.203125
360.572478282,idle_measure,,5.98,2713.203125
360.622477862,idle_measure,,5.98,2713.203125
360.67247597,idle_measure,,5.98,2713.203125
360.72247603,idle_measure,,5.98,2713.203125
360.772475994,idle_measure,,5.98,2713.203125
360.822475574,idle_measure,,5.98,2713.203125
360.872475761,idle_measure,,5.98,2713.203125
360.922476845,idle_measure,,5.98,2713.203125
360.972477545,idle_measure,,5.98,2713.203125
361.022477125,idle_measure,,5.98,2713.203125
361.072479265,idle_measure,,5.98,2713.203125
361.122476669,idle_measure,,5.98,2713.203125
361.172476793,idle_measure,,5.98,2713.203125
361.222478613,idle_measure,,5.98,2713.203125
361.272488817,idle_measure,,6.133,2712.44921875
361.322477933,idle_measure,,6.133,2712.44921875
361.372474952,idle_measure,,6.133,2712.44921875
361.422476228,idle_measure,,6.133,2712.44921875
361.472476512,idle_measure,,6.133,2712.44921875
361.522475856,idle_measure,,6.133,2712.44921875
361.572476666,idle_measure,,6.133,2712.44921875
361.622475812,idle_measure,,6.133,2712.44921875
361.672476942,idle_measure,,6.133,2712.44921875
361.722475704,idle_measure,,6.133,2712.44921875
361.77247613,idle_measure,,6.133,2712.44921875
361.822477612,idle_measure,,6.133,2712.44921875
361.872477078,idle_measure,,6.133,2712.44921875
361.922476959,idle_measure,,6.133,2712.44921875
361.972476233,idle_measure,,6.133,2712.44921875
362.022494804,idle_measure,,6.133,2712.44921875
362.072478173,idle_measure,,6.133,2712.44921875
362.122477735,idle_measure,,6.133,2712.44921875
362.172475985,idle_measure,,6.133,2712.44921875
362.222574112,idle_measure,,6.133,2712.44921875
362.272502855,idle_measure,,5.98,2711.7265625
362.322481392,idle_measure,,5.98,2711.7265625
362.372476857,idle_measure,,5.98,2711.7265625
362.422477027,idle_measure,,5.98,2711.7265625
362.472475693,idle_measure,,5.98,2711.7265625
362.522476203,idle_measure,,5.98,2711.7265625
362.572476067,idle_measure,,5.98,2711.7265625
362.6224767,idle_measure,,5.98,2711.7265625
362.672476148,idle_measure,,5.98,2711.7265625
362.722476877,idle_measure,,5.98,2711.7265625
362.772476421,idle_measure,,5.98,2711.7265625
362.822477117,idle_measure,,5.98,2711.7265625
362.872476534,idle_measure,,5.98,2711.7265625
362.922476206,idle_measure,,5.98,2711.7265625
362.972476998,idle_measure,,5.98,2711.7265625
363.022476543,idle_measure,,5.98,2711.7265625
363.072475383,idle_measure,,5.98,2711.7265625
363.122475951,idle_measure,,5.98,2711.7265625
363.172475592,idle_measure,,5.98,2711.7265625
363.222498625,idle_measure,,5.98,2711.7265625
363.272515162,idle_measure,,5.98,2711.234375
363.322480689,idle_measure,,5.98,2711.234375
363.372477833,idle_measure,,5.98,2711.234375
363.422476353,idle_measure,,5.98,2711.234375
363.472480154,idle_measure,,5.98,2711.234375
363.522478662,idle_measure,,5.98,2711.234375
363.572475949,idle_measure,,5.98,2711.234375
363.622478548,idle_measure,,5.98,2711.234375
363.672477755,idle_measure,,5.98,2711.234375
363.722478626,idle_measure,,5.98,2711.234375
363.772476713,idle_measure,,5.98,2711.234375
363.822478512,idle_measure,,5.98,2711.234375
363.872476407,idle_measure,,5.98,2711.234375
363.922477054,idle_measure,,5.98,2711.234375
363.972503591,idle_measure,,5.98,2711.234375
364.022481901,idle_measure,,5.98,2711.234375
364.072477875,idle_measure,,5.98,2711.234375
364.122479675,idle_measure,,5.98,2711.234375
364.172477121,idle_measure,,5.98,2711.234375
364.222481353,idle_measure,,5.98,2711.234375
364.272528114,idle_measure,,5.98,2711.296875
364.322481367,idle_measure,,5.98,2711.296875
364.372476605,idle_measure,,5.98,2711.296875
364.422483621,idle_measure,,5.98,2711.296875
364.472478091,idle_measure,,5.98,2711.296875
364.522475367,idle_measure,,5.98,2711.296875
364.572476413,idle_measure,,5.98,2711.296875
