platform,point_id,target_fps,processed_fps,active_power_w,idle_power_w,full_chip_power_w,incremental_power_w,full_chip_energy_per_frame_mj,incremental_energy_per_frame_mj,bubble_size_w,energy_basis,meets_180_fps,notes,n_frames,idle_settle_start_s,idle_settle_end_s,idle_measure_start_s,idle_measure_end_s,active_settle_start_s,active_settle_end_s,active_measure_start_s,active_measure_end_s
Jetson Orin NX,Jetson Orin NX 30 FPS,30,29.941806509139564,6.133000000000001,5.995300000000002,6.133000000000001,0.13769999999999882,204.8306603720767,4.59892090872896,6.133000000000001,full-chip and incremental,No,Jetson jtop total power only; idle 10s settle + 10s measure; active 10s settle + 10s measure; panel-d excludes latency.,300,349.372266703,359.372330405,359.372409449,369.372473023,369.37257098,379.39207135,379.392160441,389.411595972
Jetson Orin NX,Jetson Orin NX 45 FPS,45,44.867536668148375,6.197358208955224,5.980000000000002,6.197358208955224,0.21735820895522195,138.12566209712935,4.844442666038435,6.197358208955224,full-chip and incremental,No,Jetson jtop total power only; idle 10s settle + 10s measure; active 10s settle + 10s measure; panel-d excludes latency.,449,389.498396868,399.498460035,399.498539494,409.498602812,409.498685727,419.505667854,419.505755537,429.512990909
Jetson Orin NX,Jetson Orin NX 60 FPS,60,59.76964599126043,6.287000000000001,5.980000000000002,6.287000000000001,0.3069999999999986,105.18717144349979,5.136386453499966,6.287000000000001,full-chip and incremental,No,Jetson jtop total power only; idle 10s settle + 10s measure; active 10s settle + 10s measure; panel-d excludes latency.,598,429.600741085,439.60080453,439.600886068,449.600957875,449.601043989,459.60583459,459.605920001,469.6109985
Jetson Orin NX,Jetson Orin NX 90 FPS,90,89.46156165914023,6.4399999999999995,5.995640000000002,6.4399999999999995,0.44435999999999787,71.98622381014549,4.967049442900016,6.4399999999999995,full-chip and incremental,No,Jetson jtop total power only; idle 10s settle + 10s measure; active 10s settle + 10s measure; panel-d excludes latency.,895,469.697394496,479.697456821,479.697538135,489.697601284,489.697689862,499.702906817,499.702998628,509.70729526
Jetson Orin NX,Jetson Orin NX 120 FPS,120,119.0485399828689,6.4494776119402975,5.981599999999999,6.4494776119402975,0.4678776119402981,54.175192848802496,3.9301415372891237,6.4494776119402975,full-chip and incremental,No,Jetson jtop total power only; idle 10s settle + 10s measure; active 10s settle + 10s measure; panel-d excludes latency.,1191,509.797218511,519.797282084,519.797363878,529.797427045,529.797518023,539.80269338,539.802778726,549.807101334
Jetson Orin NX,Jetson Orin NX 180 FPS,180,177.63258511222193,6.623149253731344,5.98168,6.623149253731344,0.6414692537313442,37.285666081744374,3.611213862175607,6.623149253731344,full-chip and incremental,No,Jetson jtop total power only; idle 10s settle + 10s measure; active 10s settle + 10s measure; panel-d excludes latency.,1777,549.895282465,559.895346237,559.895423136,569.895485362,569.895573526,579.900092991,579.900176994,589.903972181
