platform,target_fps,phase,sample_time_s,power_w
RTX 4090,30,idle_measure,2.013438498979667,71.358
RTX 4090,30,idle_measure,2.033687157992972,71.358
RTX 4090,30,idle_measure,2.0539286799903493,71.358
RTX 4090,30,idle_measure,2.0742407849757,71.358
RTX 4090,30,idle_measure,2.0945743289776146,71.358
RTX 4090,30,idle_measure,2.1148503509757575,71.358
RTX 4090,30,idle_measure,2.1351647719857283,71.358
RTX 4090,30,idle_measure,2.155519710999215,71.358
RTX 4090,30,idle_measure,2.1758944609900936,71.358
RTX 4090,30,idle_measure,2.1962146699952427,71.358
RTX 4090,30,idle_measure,2.2165826259879395,71.358
RTX 4090,30,idle_measure,2.2369011499977205,71.358
RTX 4090,30,idle_measure,2.2572161619900726,71.358
RTX 4090,30,idle_measure,2.2775836079963483,71.358
RTX 4090,30,idle_measure,2.297932300978573,71.358
RTX 4090,30,idle_measure,2.3182426869752817,71.358
RTX 4090,30,idle_measure,2.3385580350004602,71.358
RTX 4090,30,idle_measure,2.358883992972551,71.358
RTX 4090,30,idle_measure,2.3791939679940697,71.358
RTX 4090,30,idle_measure,2.39955745197949,71.358
RTX 4090,30,idle_measure,2.4198428049858194,71.358
RTX 4090,30,idle_measure,2.4401799839979503,71.358
RTX 4090,30,idle_measure,2.4604990349907894,71.358
RTX 4090,30,idle_measure,2.480799685989041,71.41
RTX 4090,30,idle_measure,2.5010690199851524,71.41
RTX 4090,30,idle_measure,2.5213062799884938,71.41
RTX 4090,30,idle_measure,2.5416659979964606,71.41
RTX 4090,30,idle_measure,2.5619617569900583,71.41
RTX 4090,30,idle_measure,2.5822670869820286,71.41
RTX 4090,30,idle_measure,2.6025951839983463,71.41
RTX 4090,30,idle_measure,2.6229254599893466,71.41
RTX 4090,30,idle_measure,2.6432852309953887,71.41
RTX 4090,30,idle_measure,2.663576747989282,71.41
RTX 4090,30,idle_measure,2.6838656589970924,71.41
RTX 4090,30,idle_measure,2.704183767986251,71.41
RTX 4090,30,idle_measure,2.724496442999225,71.41
RTX 4090,30,idle_measure,2.7448111989942845,71.41
