platform,device,resolution,label,pixels,latency_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_percentile_for_fps,latency_limited_fps,selected_realtime_fps,active_fps,missed_deadline_rate,active_power_w,idle_power_w,incremental_power_w,energy_per_frame_mj,measure_mode,notes
GPU,RTX 4090,64,64×64,4096,0.36471093771979196,0.279683037661016,0.291201175423339,0.36471093771979196,p99,2741.897477087188,400.0,399.99785656792375,0.0,71.27791325000074,59.04526000000001,12.232653250000723,178.19573800115353,real_time_latency_limited_fps_v2,latency measured back-to-back after no-sleep preheat; no 96/192 resolution
GPU,RTX 4090,128,128×128,16384,0.41035683709196735,0.2703845384530723,0.31300765695050364,0.41035683709196735,p99,2436.9034693965255,400.0,399.9978551290458,0.0,73.2640519999984,60.160099999999986,13.103951999998415,183.16111214236943,real_time_latency_limited_fps_v2,latency measured back-to-back after no-sleep preheat; no 96/192 resolution
GPU,RTX 4090,256,256×256,65536,0.35272232256829716,0.28572051087394357,0.29310729005374014,0.35272232256829716,p99,2835.091333938388,400.0,399.9978588123871,0.0,74.49690400000169,64.30980000000001,10.187104000001682,186.24325695439117,real_time_latency_limited_fps_v2,latency measured back-to-back after no-sleep preheat; no 96/192 resolution
