fitted,residual
-3.034226414725539177e-04,-1.848586085274460823e-04
-2.624207852804358093e-04,-6.564317956331419072e-05
-3.087230816382029305e-04,-2.711109027367970695e-04
-3.556445604245402287e-04,-2.547070020754597713e-04
-2.721423293387653089e-04,-2.619152878487346911e-04
-2.518111050483955518e-04,-1.983231722953544482e-04
-2.085393660477546246e-04,-4.475885636397454025e-04
3.483418326583282505e-04,-1.423481803145782505e-04
4.275533805817236920e-04,-3.588888298004736920e-04
4.323518264689578134e-04,-1.042878616252078134e-04
4.451120325471891225e-04,-3.077829309846891225e-04
3.516544022757121086e-04,-1.914371171194621086e-04
-7.878010092520466401e-05,-1.882487076685453360e-04
-3.614444880875126173e-04,-2.794246525374873827e-04
-8.424912251163275512e-05,-4.498084946758672178e-04
1.420789546280424860e-04,-1.573377436905424860e-04
1.127548986258825666e-04,-8.223732050088256658e-05
1.839590511364460755e-04,-1.763296566051960755e-04
1.777078320575591216e-04,-2.387429883075591216e-04
5.719195282673553669e-06,-4.386616793892355367e-05
-1.640845451458652134e-04,-1.716088142291347866e-04
-1.007859943180776537e-04,-4.714185955256723192e-04
1.903152377561378398e-05,-3.928718558068637840e-04
9.259847288489971907e-05,-1.994099963223997191e-04
3.544613891506796506e-04,-2.400204711819296506e-04
4.288715924843877715e-04,-2.228779401406377715e-04
2.844970995536767549e-04,-1.090210253349267549e-04
2.389820441933140980e-04,-3.686817512245640980e-04
3.735727302580384135e-04,-2.438730232267884135e-04
3.637029209892728371e-04,-2.645207920830228371e-04
3.844810791614787981e-04,-3.234459229114787981e-04
4.236070397775539703e-04,-3.015367272775539703e-04
2.985004283195417723e-04,-2.527240611320417723e-04
-9.004394076923618608e-05,-2.227612350120138139e-04
-3.327654657230002611e-04,1.572893915042502611e-04
-8.218465015226459952e-04,-2.128107852354004827e-06
-6.241113382442494513e-04,-9.305174769325054874e-05
-2.441495963630322362e-04,3.052654948803223620e-05
-2.258341329025565067e-04,4.581691496306506675e-06
-4.347197940808280800e-04,2.273248939332808000e-05
-4.192786216987455777e-04,-6.137323377000442233e-05
-2.032569680839965860e-04,-2.468773092597533868e-04
-3.630514896467374126e-04,-3.693703853532625874e-04
-4.414308249593764527e-04,-3.922103050937354729e-05
-6.018426067429318320e-04,-1.992438190383181680e-04
-5.713624055131024358e-04,-2.755003874556475642e-04
-4.069137631541992978e-04,-2.797317446583007022e-04
-4.344457631557690396e-04,-2.827173227817309604e-04
-3.737656911757940856e-04,-3.815443674179559144e-04
2.569168740800460184e-04,-5.092322173629601836e-05
4.388885905598868169e-04,-3.778534343098868169e-04
4.365282342767371078e-04,-3.979971865173710785e-05
4.432988228420642980e-04,-2.525639595608142980e-04
4.593926062903341085e-04,-2.305107703528341085e-04
2.480568853512393952e-05,-3.223520752538739124e-04
-3.713592346967222683e-04,-4.297271910845277317e-04
-3.235016393620838027e-04,-4.318084192316661973e-04
1.733872902246800889e-04,-2.115342628809300889e-04
1.228295916481667916e-04,-3.127685727316679163e-05
2.246437925748565316e-04,-2.017556089811065316e-04
1.470438724135217357e-04,-8.600871616352173568e-05
1.274949155983357788e-04,-2.037888609108357788e-04
-2.050515928550342832e-04,-2.603414735512156897e-04
-2.525019893028611221e-04,-4.417729130408888779e-04
-9.964644336890726294e-05,-3.657466230373427642e-04
1.064418982400120535e-04,-1.293300818337620535e-04
3.430287068785543305e-04,-2.133289998473043305e-04
5.712124829853491761e-04,-1.515957837665991761e-04
4.671312768020812259e-04,-1.848436791458312259e-04
3.441765492075815592e-04,-3.365471546763315592e-04
4.225334752751753911e-04,-3.462395299626753911e-04
3.948233888197645093e-04,-2.117179200697645093e-04
3.703343439616443183e-04,-2.711522150553943183e-04
3.872492729658437677e-04,-2.880671440595937677e-04
2.878842502525421829e-04,-3.107724338462921829e-04
-2.610723944513479921e-04,-1.890618828924020079e-04
-5.260677243793058502e-04,-4.613686546444414980e-05
-9.552447740908215574e-04,-5.183530403417844264e-05
-8.872415599055044318e-04,-3.029439869694955682e-04
-3.418961545246112675e-04,-9.297933375663873252e-05
-2.964054201760403561e-04,-5.454672826145964392e-05
-6.063640462245423928e-04,-5.739327799420760722e-05
-5.995788692895319839e-04,-1.328430057104680161e-04
-3.300400297877735707e-04,-1.735000092747264293e-04
-4.815077079583620148e-04,-3.424669014166379852e-04
-6.258931048419953073e-04,-1.523051373455046927e-04
-7.860014694092302750e-04,-3.278901321532697250e-04
-8.059823946222056902e-04,-2.545034452215443098e-04
-6.230602743101321594e-04,-1.856555460023678406e-04
-6.547436010741890678e-04,-3.523364770508109322e-04
-5.298731063396782065e-04,-4.314306045978217935e-04
1.563966045826077167e-04,-1.029908428638577167e-04
4.263057047845329045e-04,-2.660884196282829045e-04
4.595874956928974438e-04,-2.230762652241474438e-04
4.306287536610343080e-04,-1.788587341297843080e-04
5.003153085302444129e-04,-2.180277108739944129e-04
-6.574221842443772504e-05,-2.165453792318122750e-04
-3.422492041507524917e-04,-4.740960106929975083e-04
-4.016973074712206979e-04,-5.977533761225293021e-04
-3.159404749427603188e-05,-1.133644485994739681e-04
7.577717389396220761e-05,-7.112623112712207615e-06
2.094652165315788689e-04,-1.484300602815788689e-04
1.771632489759619559e-04,-3.983414741346195595e-05
1.007330364710728652e-04,-1.312506145960728652e-04
-1.186136009338553817e-04,-2.857443092223946454e-04
-3.138511494154457016e-04,-4.109413310533042984e-04
-3.587479526620687784e-04,-2.821211879629312216e-04
1.875589179979230618e-04,-3.248880195604230618e-04
3.715898814873391451e-04,-2.342607799248391451e-04
6.274744037461698959e-04,-8.578739202741989586e-05
5.589983524698258991e-04,-9.681946219825899105e-06
5.074154613978087329e-04,-2.861630199915587329e-04
