py_depth,my_depth
1.679173834575744075e-05,6.942749023437500000e-04
-1.352703771389464533e-04,-1.220703125000000000e-04
-4.100176691585745133e-04,-3.814697265625000000e-04
-5.892223920718814485e-05,-2.670288085937500000e-04
9.794987418371378673e-05,5.340576171875000000e-05
-1.232324110669635918e-06,-1.449584960937500000e-04
-1.588741142066672459e-04,-3.356933593750000000e-04
6.313361495343343789e-05,-1.907348632812500000e-04
-1.652607102577095528e-05,-2.059936523437500000e-04
-2.643394541876042383e-04,-4.501342773437500000e-04
-8.909815857305062518e-05,-2.059936523437500000e-04
-9.836372720041156167e-06,-3.356933593750000000e-04
-1.376944776318442590e-04,-3.280639648437500000e-04
-8.994627031363633851e-05,-1.983642578125000000e-04
-3.256755257254422800e-05,-2.593994140625000000e-04
-9.561729829565170503e-05,-5.722045898437500000e-04
4.471380729586855616e-04,1.907348632812500000e-04
3.401608096770383565e-04,5.340576171875000000e-05
2.959787421057724134e-04,1.907348632812500000e-04
2.928916528126035467e-04,6.103515625000000000e-05
2.129627581574796661e-04,1.754760742187500000e-04
-1.307658856628585349e-04,-4.119873046875000000e-04
-2.000448242283720749e-04,-4.425048828125000000e-04
3.903490779060434456e-05,-3.128051757812500000e-04
1.860391470866858609e-04,1.525878906250000000e-05
2.353720545263506610e-04,0.000000000000000000e+00
2.232484302135013534e-04,-1.068115234375000000e-04
2.096937065601956862e-04,-1.449584960937500000e-04
-2.811981935437615570e-05,-3.814697265625000000e-05
-1.908255447519707629e-04,-2.746582031250000000e-04
8.714413973148277736e-05,-2.899169921875000000e-04
1.390465722627493234e-04,-2.288818359375000000e-04
1.649611072652296931e-04,-8.392333984375000000e-05
3.128981362307119173e-04,1.296997070312500000e-04
2.458835192329195899e-04,8.392333984375000000e-05
1.688602097136263536e-04,8.392333984375000000e-05
2.688878580350809091e-04,2.288818359375000000e-05
2.630632971238889271e-04,2.288818359375000000e-05
1.825166672183529948e-04,7.629394531250000000e-05
3.405930261606749006e-04,6.866455078125000000e-05
3.944552969640337031e-04,1.449584960937500000e-04
2.899482213499356099e-04,0.000000000000000000e+00
-1.847350006195909390e-04,-7.629394531250000000e-05
-2.002769806540675177e-04,-1.373291015625000000e-04
-6.359213640364874904e-04,-5.035400390625000000e-04
